path,popout,n_objects,response,answer,incongruent
data/vlm/2D/conjunctive_search/images/incongruent-30_66.png,,30,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-45_6.png,,45,True.,,False
data/vlm/2D/conjunctive_search/images/incongruent-25_50.png,,25,T T T T T T,,True
data/vlm/2D/conjunctive_search/images/incongruent-5_92.png,,5,"[T, L, T",,True
data/vlm/2D/conjunctive_search/images/incongruent-50_3.png,,50,True.,,True
data/vlm/2D/conjunctive_search/images/congruent-25_20.png,,25,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-20_93.png,,20,T T T T T T,,True
data/vlm/2D/conjunctive_search/images/incongruent-20_28.png,,20,T.,,True
data/vlm/2D/conjunctive_search/images/congruent-10_63.png,,10,[true].,,False
data/vlm/2D/conjunctive_search/images/congruent-50_64.png,,50,[true].,,False
data/vlm/2D/conjunctive_search/images/congruent-50_44.png,,50,True.,,False
data/vlm/2D/conjunctive_search/images/incongruent-30_20.png,,30,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-35_63.png,,35,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-20_9.png,,20,L L L L L L,,True
data/vlm/2D/conjunctive_search/images/incongruent-35_52.png,,35,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-25_39.png,,25,T.,,False
data/vlm/2D/conjunctive_search/images/congruent-25_85.png,,25,[true].,,False
data/vlm/2D/conjunctive_search/images/congruent-30_49.png,,30,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-30_52.png,,30,[true].,,True
data/vlm/2D/conjunctive_search/images/incongruent-40_59.png,,40,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-35_39.png,,35,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-5_21.png,,5,[T].,,True
data/vlm/2D/conjunctive_search/images/congruent-20_35.png,,20,T.,,False
data/vlm/2D/conjunctive_search/images/congruent-40_9.png,,40,[true].,,False
data/vlm/2D/conjunctive_search/images/congruent-40_83.png,,40,[true].,,False
data/vlm/2D/conjunctive_search/images/congruent-5_51.png,,5,[T].,,False
data/vlm/2D/conjunctive_search/images/congruent-40_31.png,,40,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-5_77.png,,5,T.,,True
data/vlm/2D/conjunctive_search/images/congruent-25_21.png,,25,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-45_92.png,,45,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-50_53.png,,50,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-30_50.png,,30,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-30_26.png,,30,[true].,,False
data/vlm/2D/conjunctive_search/images/congruent-15_99.png,,15,L L L L L L,,False
data/vlm/2D/conjunctive_search/images/congruent-25_27.png,,25,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-25_37.png,,25,[true].,,True
data/vlm/2D/conjunctive_search/images/incongruent-5_74.png,,5,[T].,,True
data/vlm/2D/conjunctive_search/images/incongruent-15_34.png,,15,TTTTTT.,,True
data/vlm/2D/conjunctive_search/images/incongruent-15_72.png,,15,L L L L L L,,True
data/vlm/2D/conjunctive_search/images/incongruent-45_12.png,,45,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-15_13.png,,15,TTTT.,,False
data/vlm/2D/conjunctive_search/images/congruent-35_19.png,,35,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-20_49.png,,20,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-30_88.png,,30,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-10_88.png,,10,T L L L T T,,True
data/vlm/2D/conjunctive_search/images/incongruent-20_4.png,,20,L L L L L L,,True
data/vlm/2D/conjunctive_search/images/incongruent-30_62.png,,30,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-40_28.png,,40,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-50_58.png,,50,True.,,True
data/vlm/2D/conjunctive_search/images/congruent-5_65.png,,5,[T].,,False
data/vlm/2D/conjunctive_search/images/incongruent-10_71.png,,10,[T].,,True
data/vlm/2D/conjunctive_search/images/congruent-50_82.png,,50,True.,,False
data/vlm/2D/conjunctive_search/images/congruent-10_40.png,,10,[true].,,False
data/vlm/2D/conjunctive_search/images/congruent-35_8.png,,35,[true].,,False
data/vlm/2D/conjunctive_search/images/congruent-35_81.png,,35,T.,,False
data/vlm/2D/conjunctive_search/images/incongruent-15_97.png,,15,T L L L T L,,True
data/vlm/2D/conjunctive_search/images/congruent-40_30.png,,40,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-50_27.png,,50,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-20_14.png,,20,T.,,False
data/vlm/2D/conjunctive_search/images/incongruent-25_83.png,,25,T L L L L L,,True
data/vlm/2D/conjunctive_search/images/incongruent-25_35.png,,25,[true].,,True
data/vlm/2D/conjunctive_search/images/incongruent-20_30.png,,20,T L L L L L,,True
data/vlm/2D/conjunctive_search/images/congruent-15_9.png,,15,T L L L L L,,False
data/vlm/2D/conjunctive_search/images/incongruent-40_91.png,,40,[true].,,True
data/vlm/2D/conjunctive_search/images/congruent-45_59.png,,45,[true].,,False
data/vlm/2D/conjunctive_search/images/incongruent-25_70.png,,25,T T T L L L,,True
data/vlm/2D/conjunctive_search/images/incongruent-30_88.png,,30,[true].,,True
data/vlm/2D/conjunctive_search/images/incongruent-5_96.png,,5,[true].,,True
data/vlm/2D/conjunctive_search/images/incongruent-50_31.png,,50,True.,,True
data/vlm/2D/conjunctive_search/images/congruent-45_92.png,,45,[true].,,False
